cod_pais,cod_serie,means,año,value,countryname,countrycode,seriesname,seriescode
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2006,3.96198870899485,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2007,6.06987060733128,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2008,5.09419544811998,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2009,-.12581200299141,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2010,7.52822581812151,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2011,3.97442307944702,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2012,1.92117598509462,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2013,3.0048226702888,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2014,.503955740273241,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2015,-3.54576339347278,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2016,-3.2759169063211,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2017,1.32286905390815,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2018,1.78366676137003,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2019,1.22077782271943,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2020,-3.27675879612903,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2021,4.7626043797061,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2022,3.01669435408112,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2023,3.24165532813583,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2024,3.41931516597739,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2006,4.87060022354126,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2007,4.97425985336304,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2008,5.2688398361206,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2009,5.46355009078979,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2010,5.64879989624023,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2011,5.73741006851196,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2012,5.85510015487671,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2013,5.8388500213623,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2014,5.94848012924194,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2015,6.24105978012085,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2016,6.314040184021,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2017,6.32047986984253,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2018,6.08851003646851,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2019,5.96346998214722,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2020,5.77150011062622,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2021,5.4969801902771,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2022,5.61922979354858,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2023,,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
BRA,SE.XPD.TOTL.GD.ZS,5.7306566,2024,,Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2006,6.04999082563968,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2007,5.16823098528431,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2008,3.78939280635238,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2009,-1.11803723642878,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2010,5.85165102224047,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2011,6.22389678509138,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2012,6.15534001855494,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2013,3.30850824710085,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2014,1.79264947139259,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2015,2.15194249981184,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2016,1.753038749071,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2017,1.35769537343957,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2018,3.99002947789977,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2019,.634367533828438,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2020,-6.14347479224092,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2021,11.3149204879049,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2022,2.15399356192458,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2023,.521367977246825,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,NY.GDP.MKTP.KD.ZG,3.0315692,2024,2.64431154871538,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2006,3.04014992713928,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2007,3.2331600189209,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2008,3.79189991950989,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2009,4.25475978851318,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2010,4.18953990936279,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2011,4.0617299079895,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2012,,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2013,4.54814004898071,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2014,4.75167989730835,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2015,4.90390014648438,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2016,5.3664698600769,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2017,5.43278980255127,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2018,5.473060131073,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2019,5.62630987167358,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2020,5.62993001937866,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2021,4.99923992156982,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2022,4.89753007888794,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2023,,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
CHL,SE.XPD.TOTL.GD.ZS,4.6375179,2024,,Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2006,6.71686869844402,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2007,6.73819469090975,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2008,3.28344618616541,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2009,1.13964864548062,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2010,4.49465897070922,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2011,6.94789198173555,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2012,3.91263576716115,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2013,5.13399351995672,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2014,4.49903000110972,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2015,2.95590137527523,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2016,2.08738250162794,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2017,1.35936086788746,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2018,2.56432428277704,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2019,3.18685539245533,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2020,-7.18591413760859,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2021,10.8011981904878,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2022,7.32827729427979,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2023,.712380031974334,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,NY.GDP.MKTP.KD.ZG,3.5933928,2024,1.5983315366523,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2006,3.91671991348267,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2007,4.08301019668579,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2008,3.9387800693512,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2009,4.77651977539062,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2010,4.83382987976074,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2011,4.46608018875122,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2012,4.37038993835449,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2013,4.87855005264282,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2014,4.62945985794067,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2015,4.47038984298706,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2016,4.47721004486084,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2017,4.53551006317139,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2018,4.44910001754761,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2019,4.51069021224976,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2020,5.26166009902954,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2021,,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2022,,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2023,,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
COL,SE.XPD.TOTL.GD.ZS,4.5065265,2024,,Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2006,3.86668241523209,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2007,2.8891174138025,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2008,.887902330743628,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2009,-5.54455451920674,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2010,4.13463778522758,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2011,3.75796884489337,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2012,.463512036709204,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2013,.396995583779145,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2014,2.18018602168017,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2015,1.66300602334775,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2016,2.22222216259371,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2017,2.797906720551,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2018,1.13569604599849,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2019,.977734697038784,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2020,-4.13191443239947,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2021,3.90999994204108,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2022,1.8092581243061,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2023,-.869647578573321,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,NY.GDP.MKTP.KD.ZG,1.1605715,2024,-.495851897260366,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2006,,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2007,,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2008,4.47337007522583,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2009,,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2010,4.99525022506714,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2011,4.88583993911743,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2012,4.83153009414673,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2013,4.83911991119385,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2014,4.82582998275757,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2015,4.76157999038696,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2016,4.74631023406982,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2017,4.77830982208252,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2018,4.88400983810425,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2019,5.02757978439331,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2020,5.51600980758667,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2021,5.36734008789062,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2022,5.23916006088257,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
DEU,SE.XPD.TOTL.GD.ZS,4.9408031,2023,,Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
